order_id,product_name,price,order_date
620,Paper age firm.,402.7505339463561,2021-06-21 23:36:59.397242
58,Teacher partner.,880.4725279669168,2020-05-08 14:27:30.120378
951,Adult glass bring.,766.814686785591,2021-09-18 12:05:27.015214
488,Amount hair later.,77.84520490550383,2022-06-14 23:32:11.624125
295,We staff important.,856.1591696482348,2020-07-11 15:43:18.973819
677,Window figure fast.,203.39721149940416,2024-07-20 04:31:10.051480
916,Herself budget.,869.6212510751252,2024-03-09 05:51:30.761142
513,Information open.,500.81211059958963,2022-08-28 15:11:10.118848
732,Rest arrive force.,43.89273096428015,2021-11-07 20:14:30.771755
505,We station thousand.,30.885603255583426,2021-08-17 03:54:27.097097
22,Reach bag listen.,600.6254329343616,2022-01-05 23:37:20.183173
82,Sense still pick.,63.788180344302226,2020-02-15 20:28:17.771097
75,Think describe bank.,5.797577227294681,2024-10-05 13:14:52.525638
278,Now baby two trial.,768.6571890459987,2023-04-05 00:49:20.433166
692,View increase state.,305.86364301970247,2020-04-01 02:28:39.911374
396,Fly hand mouth.,984.6252188731232,2020-07-08 11:17:12.370832
447,Although can woman.,377.3930902475786,2020-09-22 05:31:42.370603
731,Free any between.,143.05356891890253,2024-05-15 05:00:17.506220
136,Level well drop.,972.1620622030573,2020-07-11 07:07:44.430528
903,Father owner stock.,233.85420219957987,2021-09-20 11:45:10.505526
766,Meeting often about.,117.96290764971951,2020-11-26 05:32:05.842411
916,Worry other affect.,428.22024578734454,2020-03-16 07:26:08.108747
904,Listen fund.,637.5273129740228,2024-08-19 17:46:59.457662
833,Again night foreign.,351.1764626461874,2024-11-12 03:33:39.666798
761,Citizen low.,467.7515284240065,2022-01-26 06:18:49.773018
611,Soldier almost list.,128.86941295502962,2022-12-10 16:21:56.880921
590,Soldier fast Mr.,719.9560167920628,2022-04-03 17:11:04.324713
11,Collection senior.,539.0010031846832,2020-07-05 09:04:40.993492
280,Return theory if.,408.0588189953027,2022-05-30 06:45:18.217715
334,Seem reveal believe.,24.552579944071674,2022-05-28 22:08:18.925211
838,Protect vote indeed.,736.4385658004396,2020-08-13 16:27:21.545098
29,Measure thus great.,32.451409344393724,2021-03-10 18:28:09.386619
146,Best prepare.,62.04445436866746,2023-01-03 05:36:15.343014
653,List with child.,423.36070881590103,2022-12-02 18:40:58.875147
